fish_indiv,date,anem_id,old_anem_id,anem_obs,second_year,later_year
2276,17598,2888,634,664,TRUE,NA
2276,17622,2590,NA,485,TRUE,NA
2277,16937,2238,359,333,TRUE,NA
2277,16957,2493,NA,446,TRUE,NA
2278,17608,3119,464,719,NA,NA
2278,17630,3119,NA,719,NA,NA
2279,17612,3171,NA,720,NA,NA
2279,17631,3171,NA,720,NA,NA
2281,16591,849,NA,340,NA,NA
2281,16938,2246,849,340,NA,NA
2281,16967,2246,NA,340,NA,NA
2283,16591,929,NA,1056,FALSE,FALSE
2283,16958,2504,NA,451,FALSE,FALSE
2284,16238,485,NA,309,NA,NA
2284,16935,2214,485,309,NA,NA
2284,17305,2214,NA,309,NA,NA
2285,16239,515,NA,839,TRUE,NA
2285,16590,1347,NA,138,TRUE,NA
2286,16595,2139,NA,NA,FALSE,FALSE
2286,16939,2262,447,790,FALSE,FALSE
2288,16593,1269,NA,98,NA,NA
2288,16947,2305,NA,98,NA,NA
2288,17309,2305,NA,98,NA,NA
2289,16593,2128,NA,NA,NA,NA
2289,16946,2299,NA,380,NA,NA
2289,17314,2299,NA,380,NA,NA
2289,17325,2299,NA,380,NA,NA
2290,16591,930,NA,452,NA,NA
2290,16958,2505,930,452,NA,NA
2291,16591,691,NA,450,NA,NA
2291,16958,2503,691,450,NA,NA
2292,16234,432,NA,781,TRUE,NA
2292,17594,2624,NA,504,TRUE,NA
2293,16590,505,NA,832,TRUE,NA
2293,16952,2426,NA,NA,TRUE,NA
2294,16587,1119,NA,52,FALSE,FALSE
2294,17598,2968,NA,700,FALSE,FALSE
2294,17626,3236,NA,NA,FALSE,FALSE
2295,16587,2055,NA,NA,FALSE,FALSE
2295,16967,2036,NA,208,FALSE,FALSE
2296,16585,426,NA,443,TRUE,NA
2296,16957,2490,428,444,TRUE,NA
2297,16585,427,NA,445,TRUE,NA
2297,16957,2490,428,444,TRUE,NA
2298,16594,903,NA,150,NA,NA
2298,16949,2317,NA,399,NA,NA
2298,16968,2317,NA,399,NA,NA
2299,16597,782,NA,993,TRUE,NA
2299,16959,2529,NA,NA,TRUE,NA
2301,16595,2138,NA,NA,NA,NA
2301,16939,2258,NA,NA,NA,NA
2302,16244,614,NA,NA,NA,NA
2302,16942,2284,1080,40,NA,NA
2302,16967,2575,1080,40,NA,NA
2302,17598,2283,NA,366,NA,NA
2303,16591,930,NA,452,NA,NA
2303,16958,2505,930,452,NA,NA
2304,16234,414,NA,327,NA,NA
2304,16585,881,NA,509,NA,NA
2304,16966,881,NA,509,NA,NA
2304,17304,2630,881,509,NA,NA
2304,17594,2630,881,509,NA,NA
2304,17607,2630,NA,509,NA,NA
2406,15853,181,NA,171,TRUE,NA
2406,15860,180,NA,170,TRUE,NA
2307,15859,311,NA,NA,FALSE,FALSE
2307,16233,406,NA,608,FALSE,FALSE
2380,15859,321,NA,NA,FALSE,FALSE
2380,16243,534,NA,624,FALSE,FALSE
2313,16244,628,NA,915,TRUE,NA
2313,16586,627,NA,63,TRUE,NA
2313,16942,2294,NA,377,TRUE,NA
2314,16244,605,NA,376,TRUE,NA
2314,16586,1133,NA,63,TRUE,NA
2315,16238,499,NA,313,NA,NA
2315,16584,478,NA,510,NA,NA
2315,16936,2222,479,318,NA,NA
2315,16966,2222,NA,318,NA,NA
2315,17305,2222,NA,318,NA,NA
2315,17595,2222,479,318,NA,NA
2317,16237,464,NA,719,TRUE,NA
2317,16599,2158,NA,NA,TRUE,NA
2318,16237,463,NA,805,NA,NA
2318,16599,807,NA,280,NA,NA
2318,16933,2184,807,280,NA,NA
2318,17608,2184,NA,280,NA,NA
2320,16237,456,NA,799,TRUE,NA
2320,16599,794,NA,275,TRUE,NA
2325,16234,435,NA,783,NA,NA
2325,16585,435,NA,783,NA,NA
2325,16966,2572,110,477,NA,NA
2325,17304,2572,NA,477,NA,NA
